Starting State,Expected # of Cycles
A05B05,19.16147177
A06B04,18.44632443
A04B06,18.36562439
A05B04,18.05836095
A04B05,18.05142875
A04B04,17.26989372
A03B05,16.68076869
A06B03,16.566625
A03B06,16.52357214
A05B03,16.34628375
A07B03,16.25112017
A03B07,16.04688292
A03B04,15.79957056
A04B03,15.60781402
A02B06,14.53932714
A03B03,14.47424727
A02B05,14.44148013
A02B04,14.01820461
A06B02,13.94157478
A05B02,13.90690101
A07B02,13.61859425
A02B07,13.48098873
A04B02,13.38177302
A08B02,12.66403982
A02B03,12.65496238
A03B02,12.31179799
A02B08,12.27127102
A01B05,11.83027817
A01B06,11.42364208
A01B04,11.27595683
A02B02,10.88183394
A01B07,10.81761678
A05B01,10.7406929
A06B01,10.68782812
A01B03,10.44418504
A04B01,10.37305628
A07B01,10.1303689
A03B01,9.558393675
A08B01,9.365647673
A01B08,9.07014855
A01B02,8.784708164
A02B01,8.331650348
A09B01,8.002279504
A00B05,7.539140866
A00B04,7.499980569
A00B06,7.422037158
A01B09,7.405325598
A01B01,6.81886135
A00B03,6.772142329
A00B07,6.549727892
A05B00,6.548368561
A06B00,6.400660701
A04B00,6.311968252
A07B00,5.944238246
A00B02,5.872221464
A03B00,5.827075676
A00B08,5.642338485
A08B00,5.180208325
A02B00,5.109290756
A00B01,4.4119463
A09B00,4.361518466
A01B00,4.042729385
A00B09,3.933058262
A10B00,3.191701826
A00B00,2.725009727
A00B10,2.644352754